title,product_link,price,rating,reviews,description,availability,category
"TOYTONIC Kids Digital Camera in Pink with 3MP, HD 1080P, IPS Screen, Selfie Function, and Built-in Games",https://amazon.in/TOYTONIC-Digital-Camera-Screen-Function/dp/B0DRVYQVNJ/ref=sr_1_2?dib=eyJ2IjoiMSJ9.tI0yzNeftzrn8ofLhEzFiYvf4-aVK-2uUQqzYEck6A-MKANYWwBxeyvudThzCrnv9AlPXXGMoKJRvZPyNT1PgOICHIRIGeVAHHFJWva6bKABNHgxg7GkNDmPNz9PLrNIfLanGteMBzxYvLBmTHwrDns2qpiU6OLd7rwXGaeipMsHZwDJZkQQGeJBOvhxWYrD2H9LvxS_01VicXFj2utm8POqSsR4mg4iZmL4P5F_Y8A.toEo55_zvCjJiB3IFMBoYYIHOJQ1Toup9E58xH2JXNc&dib_tag=se&keywords=cameras&qid=1739539172&sr=8-2,650,4.5 out of 5 stars,39 ratings,"📸 3MP High-Quality Camera: Capture sharp and vibrant images with 3MP resolution, perfect for budding photographers. || 🎥 HD 1080P Video Recording: Record fun and memorable moments in clear HD quality for playback and sharing. || 🖥️ IPS Display Screen: Features a durable and eye-friendly IPS screen for easy photo and video viewing. || 🤳 Selfie Mode: Includes a selfie camera function for kids to capture their own fun moments effortlessly. || 🎮 Built-In Games: Keep kids entertained with fun, pre-installed games when they’re not taking photos. || 🎀 Attractive Pink Color: Designed in a beautiful pink color that’s perfect for kids who love stylish and vibrant gadgets. || 🔋 Rechargeable Battery: Enjoy hours of fun with the built-in rechargeable battery, eliminating the need for constant replacements. || 🎁 Perfect Gift for Kids: Lightweight, portable, and easy to use—ideal for birthdays, holidays, or any special occasion.",In stock,Cameras & Photography
CP PLUS 3 MP Full HD Smart Wi-fi CCTV Camera | 360° Pan & Tilt | View & Talk | Motion Alert | Night Vision | SD Card (Up to 128 GB) | Alexa & OK Google | 2-Way Talk | IR Distance 10Mtr | CP-E35A,https://amazon.in/CP-PLUS-Camera-Distance-CP-E35A/dp/B0BKQMLT5V/ref=sr_1_6?dib=eyJ2IjoiMSJ9.tI0yzNeftzrn8ofLhEzFiYvf4-aVK-2uUQqzYEck6A-MKANYWwBxeyvudThzCrnv9AlPXXGMoKJRvZPyNT1PgOICHIRIGeVAHHFJWva6bKABNHgxg7GkNDmPNz9PLrNIfLanGteMBzxYvLBmTHwrDns2qpiU6OLd7rwXGaeipMsHZwDJZkQQGeJBOvhxWYrD2H9LvxS_01VicXFj2utm8POqSsR4mg4iZmL4P5F_Y8A.toEo55_zvCjJiB3IFMBoYYIHOJQ1Toup9E58xH2JXNc&dib_tag=se&keywords=cameras&qid=1739539172&sr=8-6,"1,449.00",3.8 out of 5 stars,"10,798 ratings","3 MP Resolution Plug & Play Wi-Fi PT camera, capturing every detail with precision. Now, seamlessly integrate with Alexa & Google Assistant for hands-free convenience and elevate your home's security to a smart level. || 360° Pan and 85° Tilt offered by this EzyKam, saves cost and trouble of installing multiple cameras in any space to cover the full view of the area. ;Home-on-Phone, View the live video footage of your home/office anytime anywhere in the world on your phone. || Motion Tracking: Enjoy effortless monitoring as the camera automatically rotates to track the movement of people, ensuring no activity goes unnoticed. || Motion Detection Alerts: Stay informed with real-time alerts as the camera detects movement in the video frame, keeping you updated on any potential activity. || Hassle-free Installation, Connect to your local Wi-Fi in a moment. Simply select a network, input the password, and you are good to go;Talk to the person on the other side while you see their live video feed and stay connected to your loved ones around the clock. Up to 128GB SD Card supported.",In stock,Cameras & Photography
Fujifilm Instax Mini Evo Hybrid Camera Premium Edition with 20 Shots of Stone Gray Film and 100 Different Expressions-(Black),https://amazon.in/Fujifilm-Instax-Premium-Different-Expressions/dp/B0B2CTG2K4/ref=sr_1_14?dib=eyJ2IjoiMSJ9.tI0yzNeftzrn8ofLhEzFiYvf4-aVK-2uUQqzYEck6A-MKANYWwBxeyvudThzCrnv9AlPXXGMoKJRvZPyNT1PgOICHIRIGeVAHHFJWva6bKABNHgxg7GkNDmPNz9PLrNIfLanGteMBzxYvLBmTHwrDns2qpiU6OLd7rwXGaeipMsHZwDJZkQQGeJBOvhxWYrD2H9LvxS_01VicXFj2utm8POqSsR4mg4iZmL4P5F_Y8A.toEo55_zvCjJiB3IFMBoYYIHOJQ1Toup9E58xH2JXNc&dib_tag=se&keywords=cameras&qid=1739539172&sr=8-14,"19,999.00",4.2 out of 5 stars,125 ratings,"Hybrid instant film camera || 10 Lens x 10 Film Effect Options = 100 Ways of Expression || Built-in selfie mirror so you’re perfectly framed for a selfie, Dual shutter buttons – portrait and landscape || Save printed images onto your Smartphone - Requires download of free INSTAX MINI EVO App - Control the INSTAX MINI EVO camera with your Smartphone for remote shooting - Print photos from your Smartphone via Bluetooth || Save images to a microSD card (microSD card not included)",In stock,Cameras & Photography
Fujifilm Instax Mini 12 Instant Camera-Purple,https://amazon.in/Fujifilm-Instax-Mini-Instant-Camera-Purple/dp/B0BX8V5SDW/ref=sr_1_16?dib=eyJ2IjoiMSJ9.tI0yzNeftzrn8ofLhEzFiYvf4-aVK-2uUQqzYEck6A-MKANYWwBxeyvudThzCrnv9AlPXXGMoKJRvZPyNT1PgOICHIRIGeVAHHFJWva6bKABNHgxg7GkNDmPNz9PLrNIfLanGteMBzxYvLBmTHwrDns2qpiU6OLd7rwXGaeipMsHZwDJZkQQGeJBOvhxWYrD2H9LvxS_01VicXFj2utm8POqSsR4mg4iZmL4P5F_Y8A.toEo55_zvCjJiB3IFMBoYYIHOJQ1Toup9E58xH2JXNc&dib_tag=se&keywords=cameras&qid=1739539172&sr=8-16,"6,999.00",4.1 out of 5 stars,"3,614 ratings",Take bright photos no matter where and when! || Easy to use for the perfect close-up,In stock,Cameras & Photography
"Xiaomi Mi 360° Home Security Camera 2K (1296p)| 2024 New Launch| 3MP High Res| F/1.6 High Aperture for Superior Colors| CCTV Camera for Home| AI Human Detect (No False Alarm)| Talk Back Feature,White",https://amazon.in/Xiaomi-Security-Aperture-Superior-Feature/dp/B0CS9S7X53/ref=sr_1_20?dib=eyJ2IjoiMSJ9.95izaeUDQYCLHpdZ8CraiNdwy1ssFLGKj62FUEOuvaiFAVPWJ7xyUYBLrqaVRBHR3eXQ5_rp_-ef2qc-16lazma1CLUpOzzDoagQ5PH6RWCw0XDhUioC0yo-F-LUqcw930j2FUmbVC_dEznt3Iid2epfl5sjCGvclgs-Mf9A9dtFrdnNeGV-QeHBN_ZNn6cNoVF1EkNdDEO9sh3zn1Uk63oLwLWLV_HdF_yD1BQscS0.WcnylpZZ6Q0YI2oRSMbjJumvgOKh0H1QLqYWBCRj1jA&dib_tag=se&keywords=cameras&qid=1739539213&sr=8-20,"2,999.00",4.0 out of 5 stars,"1,289 ratings","3MP 2K (1296P) RESOLUTION - Crisp and clear Video recording, to ensure clarity in live video and playback. Now, works with Alexa & Ok Google so you can go hands-free and enjoy the safety of a smart home || TWO-WAY voice calls in real time, so you can ""visit home"" whenever you like. Supports two-way real-time voice calling that feels like a face-to-face conversation, so you can chat intimately with your loved ones no matter where you are. || F/1.6 large aperture lens lets significantly more light enter, capturing detailed images even in low-light conditions. Upgraded 6P lens for a higher-quality display with more details. || 360° pan-tilt-zoom panoramic view for all-round monitoring with no blind spots. Features a dual-axis pan-tilt-zoom motor, with a 360° horizontal viewing angle and 108° vertical viewing angle. || AI BASED MOTION & SOUND DETECTION - The AI human detection effectively filters false alarms. With a combination of deep-learning applications, as well as algorithm and network optimisation, AI effectively filters false alarms for improved accuracy. PROTECTS YOUR PRIVACY - Keep your personal and sensitive data secured with up to 256 GB Micro SD card storage. *** Need separate Micro SD Card for continuous recording activation (to be purchased separately)",In stock,Cameras & Photography
"insta360 X4-8K Waterproof 360 Optical Zoom Action Camera, 4K Wide-Angle Video, Removable Lens Guards, 135 Min Battery Life, Ai Editing, Stabilization, for Sports, Travel, Outdoor, Black",https://amazon.in/insta360-Waterproof-Wide-Angle-Removable-Stabilization/dp/B0CZTLSHYT/ref=sr_1_22?dib=eyJ2IjoiMSJ9.95izaeUDQYCLHpdZ8CraiNdwy1ssFLGKj62FUEOuvaiFAVPWJ7xyUYBLrqaVRBHR3eXQ5_rp_-ef2qc-16lazma1CLUpOzzDoagQ5PH6RWCw0XDhUioC0yo-F-LUqcw930j2FUmbVC_dEznt3Iid2epfl5sjCGvclgs-Mf9A9dtFrdnNeGV-QeHBN_ZNn6cNoVF1EkNdDEO9sh3zn1Uk63oLwLWLV_HdF_yD1BQscS0.WcnylpZZ6Q0YI2oRSMbjJumvgOKh0H1QLqYWBCRj1jA&dib_tag=se&keywords=cameras&qid=1739539213&sr=8-22,"49,990.00",4.3 out of 5 stars,288 ratings,"IMMERSIVE 360 VIDEO - The 8K era is here. Insta360 X4 delivers 360° video in stunning 8K or 5.7K60fps! Use Active HDR to keep shots color accurate too, even in action scenarios. || SIMPLE, EASY REFRAMING - With Insta360 X4, get out there and shoot, not having to worry about lining up a shot. Shoot first, then reframe easily after, all in the AI-powered Insta360 app. || INVISIBLE SELFIE STICK Effect - The signature third-person Insta360 shot, a specialty of 360 cameras. Immerse your viewers in obstruction-free 360° video, just like you're using a drone or as if you have your own film crew.(Selfie Stick is not included in the box). || 4K & 170° ULTRA-WIDE POV - X4 can also be used as a wide-angle 4K action camera at a whopping 4K60fps, or get super wide views with the incredible 170° MaxView at 4K30fps. || ULTRA STABLE FOOTAGE - FlowState Stabilization and 360° Horizon Lock deliver smooth, level shots, no matter how intense the action is. || SMARTER, RUGGED BUILD - X4 withstands bumps and hardcore action like a pro. The lens guards are also upgraded, now easier to apply and remove on the go. || COLD RESISTANT & WATERPROOF - X4 can handle temperatures as low as -4ºF (-20ºC) with ease. You can also take X4 down to 33ft (10m) without a dive case or 164ft (60m) with the Invisible Dive Case.",In stock,Cameras & Photography
NHS WiFi Spy Camera Hidden for Home Outdoor High HD Focus Spy Magnet Mini Live Stream Night Vision IP Wireless 1080P Audio Video Hidden Indoor Nanny Camera for Home Offices Security Multicolor,https://amazon.in/Outdoor-Wireless-Offices-Security-Multicolor/dp/B0DLPGQJ63/ref=sr_1_30?dib=eyJ2IjoiMSJ9.95izaeUDQYCLHpdZ8CraiNdwy1ssFLGKj62FUEOuvaiFAVPWJ7xyUYBLrqaVRBHR3eXQ5_rp_-ef2qc-16lazma1CLUpOzzDoagQ5PH6RWCw0XDhUioC0yo-F-LUqcw930j2FUmbVC_dEznt3Iid2epfl5sjCGvclgs-Mf9A9dtFrdnNeGV-QeHBN_ZNn6cNoVF1EkNdDEO9sh3zn1Uk63oLwLWLV_HdF_yD1BQscS0.WcnylpZZ6Q0YI2oRSMbjJumvgOKh0H1QLqYWBCRj1jA&dib_tag=se&keywords=cameras&qid=1739539213&sr=8-30,547,2.8 out of 5 stars,24 ratings,"Upgraded HD 1080p WiFi Camera : This WiFi camera is the latest model with Built-in strong Magnet, 81° Wide Angle and 1080P Live Video, which makes it perfect as a home security camera or car DVR video recorder without attracting any attention || Excellent Live Stream Nanny Cam: Support up to 128 GB micro SD card and equipped with Flexible Semi Rigid USB Cable, which can get the camera stand easily. You can also maneuver the cam at any angles or position by the cable as you need.(Card not included) || Keep Watch of Home Security Every Corner || 2.4 GHz router Wi-Fi network only. Requires Android/iOS smartphones with the free mini camera app to configure Wi-Fi. This mini camera can records without Wi-Fi too insert a SD card and turn on. camera will start recording and saves the video files to SD card. || [Longer Battery Life] This mini camera comes with a high-quality 300mAh rechargeable lithium-ion battery that can last continuous HD video recording about 1 hour. Besides, you can charge this wireless wifi camera with the included charging cable to keep using this camera.",In stock,Cameras & Photography
CP PLUS 2MP Smart Wi-fi CCTV Camera | 360° & Full HD Home Security | Advanced Night Vision | 2-Way Talk | Advanced Motion Tracking | SD Card Support (Upto 256GB) | IR Distance 20Mtr | EZ-P23,https://amazon.in/CP-PLUS-Security-Advanced-EZ-P23/dp/B0DB62C225/ref=sr_1_37?dib=eyJ2IjoiMSJ9.sBawSO78gblYqUn5yhDeUN6luQ718TeHS8ZK8rZ13YSi2IUxf37BpjwpfwjQmu9Yvh4q7m_7qfpUBKgJmRHZr001gxJDFOQSKu1ml_VMfXY0yM9WzxE4FxT7mDlINWoEfFX1rSY4TCf2DTUx0jcyGRt0clorXyWCSlp8lVdGOz5-bLqo2ioPwoSMZkEOEa37TgBx7psuRVd9nZ9j6QdZm5FK_8B93F6QYjQlKcZDB90.mOHQoaYjVjeIEaNT7Ic3_LnGR_VmycYR_jewcYBeQcc&dib_tag=se&keywords=cameras&qid=1739539253&sr=8-37,"1,199.00",2.7 out of 5 stars,263 ratings,"Ultimate Security: Protect your indoor and outdoor spaces with the CP PLUS 2MP Smart Home Security Camera. Full HD Plug & Play Wifi camera, which enables crisp images that reveal the smallest details with absolute clarity. Its 360° Pan and Tilt Feature saves the cost and trouble of installing multiple cameras in any space to cover the full view of the area. || Stay Connected: Monitor your home, Office and be connected with your loved ones like pet, baby & family members with 2-way talk facility anytime anywhere. || Intelligent Surveillance: AI-based human detection and motion alerts ensure you're always aware of any activity, whether it's your beloved ones or an unexpected visitor. || Advanced Night time Protection: Enjoy round-the-clock security with Advanced Night Vision capabilities, providing clear footage even in low-light conditions. || Expandable Storage: This camera supports SD Cards up to 256 GB, providing ample space for storing your footage. Enjoy hassle-free installation for quick and easy setup.",In stock,Cameras & Photography
"LEQTRONIQ 4K UHD 64MP Digital Camera with 3 Inch 180° Rotation Flip Screen, 18X Digital Zoom, Autofocus, Self Timer; Compact Camera for Photography, Webcam, YouTube Vlogging (Black)",https://amazon.in/LEQTRONIQ-Rotation-Autofocus-Photography-Vlogging/dp/B0D1VGDYVZ/ref=sr_1_38?dib=eyJ2IjoiMSJ9.sBawSO78gblYqUn5yhDeUN6luQ718TeHS8ZK8rZ13YSi2IUxf37BpjwpfwjQmu9Yvh4q7m_7qfpUBKgJmRHZr001gxJDFOQSKu1ml_VMfXY0yM9WzxE4FxT7mDlINWoEfFX1rSY4TCf2DTUx0jcyGRt0clorXyWCSlp8lVdGOz5-bLqo2ioPwoSMZkEOEa37TgBx7psuRVd9nZ9j6QdZm5FK_8B93F6QYjQlKcZDB90.mOHQoaYjVjeIEaNT7Ic3_LnGR_VmycYR_jewcYBeQcc&dib_tag=se&keywords=cameras&qid=1739539253&sr=8-38,"9,990.00",3.6 out of 5 stars,4 ratings,"4K 64MP Digital Camera with Flip Screen: Capture life's precious moments with the LEQTRONIQ photography camera, featuring 4K 64MP high resolution, a 3-inch flip screen, 18X digital zoom, and a built-in fill light. Perfect for kids, adults, seniors, and students. || Vlogging Camera for Youtube as Webcam: This versatile camera doubles as a webcam, allowing you to connect to your PC via USB, select ""Camera mode,"" and mount it on a 1/4 standard size tripod screw. || Travel Camera with WIFI: Weighing just 9.8 ounces, this compact camera features WiFi connectivity for effortless photo and video transfer to your smartphone or tablet. Use the app to control your camera remotely. || 18X Digital Zoom Camera with Flash: Zoom in or out with the W/T button while recording video or shooting still images. The built-in flash light ensures clear pictures in low-light conditions. || Point and Shoot Camera with Accessories: Get everything you need in one package: a 4K ultra HD camera, 2 batteries, Type-C cable, camera bag, lanyard, and user manual. A perfect gift for any occasion.",In stock,Cameras & Photography
"Imou 3MP Smart CCTV Security WiFi Camera for Home, 360° Coverage, AI Human Detection, Siren Alarm, Night Vision 10M, 2-Way Talk, Supports 256GB SD Card, WiFi & Ethernet Connection",https://amazon.in/Imou-Security-Coverage-Detection-Connection/dp/B0D7C3QCW3/ref=sr_1_47?dib=eyJ2IjoiMSJ9.sBawSO78gblYqUn5yhDeUN6luQ718TeHS8ZK8rZ13YSi2IUxf37BpjwpfwjQmu9Yvh4q7m_7qfpUBKgJmRHZr001gxJDFOQSKu1ml_VMfXY0yM9WzxE4FxT7mDlINWoEfFX1rSY4TCf2DTUx0jcyGRt0clorXyWCSlp8lVdGOz5-bLqo2ioPwoSMZkEOEa37TgBx7psuRVd9nZ9j6QdZm5FK_8B93F6QYjQlKcZDB90.mOHQoaYjVjeIEaNT7Ic3_LnGR_VmycYR_jewcYBeQcc&dib_tag=se&keywords=cameras&qid=1739539253&sr=8-47,"1,449.00",4.1 out of 5 stars,"1,351 ratings","【2K 3MP & 360° Full Coverage】Get closer with clarity! Imou 2K Indoor Camera with 8X digital zoom reveals objects in true color, providing sharp, crystal-clear images for your live video stream. Perfect clarity, every time. Control your view remotely with your smartphone, pan and tilt for a full 360° view, ensuring you're always in the know, no matter where you are. || 【AI Human Detection & Smart Tracking】Advanced AI technology differentiates humans from pets and flying insects, significantly reducing false alarms. Receive alerts only for human detection. With smart tracking, the camera automatically follows human movement in a full 360° view, offering real-time surveillance and peace of mind for your home. || 【2-way Talk & Abnormal Sound Detection】Equipped with a built-in speaker and microphone featuring echo cancellation, enabling crystal-clear two-way communication with your baby, pets, or family from anywhere. Receive instant alerts on your smartphone when the camera detects crying, barking, or other unusual sounds, allowing you to soothe them promptly. || 【Night Vision up to 10M & Active Deterrence】Exceptional night vision capabilities capture detailed footage up to 10 meters away, even in complete darkness. Features a built-in 110dB siren alarms to effectively deter unwelcome visitors. || 【Diversified Storage & Alexa Compatibility】Offers cloud storage (30-day free trial, with recordings kept in 7-day cycles) and supports up to a 256GB Micro SD card for 24h*24d recording, meeting all your home storage needs. Compatible with Alexa, allowing you to display views of your kitchen, living room, or baby's room through the Imou camera. Activate the Imou Life App's privacy mode with one click to physically cover the camera lens, ensuring your privacy at home.",In stock,Cameras & Photography
